area label,area long label,area,"KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population"
area label,area long label,area,12019,12019,12019,12019,12019,12019
area label,area long label,area,"Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people"
area label,area long label,area,raw,raw,raw,raw,raw,raw
Gosport,Gosport (District),E07000088,40,45.5,45.1,46.8,41.7,39
Gravesham,Gravesham (District),E07000109,21.1,25.1,32.4,40.7,42.1,39.3
Great Yarmouth,Great Yarmouth (District),E07000145,26.3,26.3,30.9,32.1,34,32.2
Greenwich,Greenwich (London borough),E09000011,25,17.8,15.1,17.2,23.6,29.8
Guildford,Guildford (District),E07000209,72.7,79.2,78.6,77.9,64.9,74
Hackney,Hackney (London borough),E09000012,44.7,37.5,28.5,29.8,40.3,49.2
Halton,Halton (Unitary),E06000006,31.8,34.6,32.4,33.9,27.8,27.2
Hambleton,Hambleton (District),E07000164,89.5,85.6,79,81.4,74.3,70.2
Hammersmith and Fulham,Hammersmith and Fulham (London borough),E09000013,38.4,37.1,33.8,38.4,43.6,52.3
Hampshire,Hampshire (County),E10000014,53.9,53.8,54.4,55.3,53.4,53.1
Harborough,Harborough (District),E07000131,44.8,35.8,40.2,42.3,41,35.7
Haringey,Haringey (London borough),E09000014,37.6,38.1,31.9,27.7,33.8,40.8
Harlow,Harlow (District),E07000073,27,22,24,31.2,36.5,36.4
Harrogate,Harrogate (District),E07000165,69.8,66.4,73.1,72.1,73.9,68.7
Harrow,Harrow (London borough),E09000015,16.7,18.5,18.4,19,21.3,24.6
Hart,Hart (District),E07000089,52.4,51.6,53,56.1,53.4,53.8
Hartlepool,Hartlepool (Unitary),E06000001,28.5,25.5,29.5,35,37.7,30.8
Hastings,Hastings (District),E07000062,47.2,49.5,51.1,49.3,45.2,49.2
Havant,Havant (District),E07000090,36.8,37.3,41.4,44.4,44.1,41.8
Havering,Havering (London borough),E09000016,28.2,24.1,22.2,25.8,28.8,30.5
Herefordshire,Herefordshire (Unitary),E06000019,38.9,40.1,43.1,49.7,50.8,49.6
Hertfordshire,Hertfordshire (County),E10000015,34.1,34.8,34.1,35.9,36.1,37.1
Hertsmere,Hertsmere (District),E07000098,51.2,50.6,47.5,48.1,50.5,48.4
High Peak,High Peak (District),E07000037,37.7,53,55.1,59,45.4,45.3
Hillingdon,Hillingdon (London borough),E09000017,25.6,26.3,23.9,24.9,26,32.5
Hinckley and Bosworth,Hinckley and Bosworth (District),E07000132,32.1,33.5,31,28.2,24.6,28.4
Horsham,Horsham (District),E07000227,66.3,65.1,64.9,66.5,65.9,63.7
Hounslow,Hounslow (London borough),E09000018,27.1,25.4,24.4,25.9,32.2,38.9
Huntingdonshire,Huntingdonshire (District),E07000011,48.1,44,46.8,46.8,52.2,50.5
Hyndburn,Hyndburn (District),E07000120,46.2,55,50.3,50.8,44.4,45.6
Ipswich,Ipswich (District),E07000202,32.8,32.2,25.7,25.9,24.8,35.1
Isle of Wight,Isle of Wight (Unitary),E06000046,65.1,58.7,56.9,54.9,57.7,57.5
Isles of Scilly,Isles of Scilly (Unitary),E06000053,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Islington,Islington (London borough),E09000019,46.2,44.2,38.1,38.5,42.4,49.2
Kensington and Chelsea,Kensington and Chelsea (London borough),E09000020,51,48.2,39.1,39.9,50.2,66.3
Kent,Kent (County),E10000016,36.9,39.6,41.6,47.6,50.4,52.3
King's Lynn and West Norfolk,King's Lynn and West Norfolk (District),E07000146,45.1,48.3,45.7,47.4,46.6,53.3
Kingston upon Hull,Kingston upon Hull (Unitary),E06000010,47.7,47.7,44.4,48,52.9,63.6
Kingston upon Thames,Kingston upon Thames (London borough),E09000021,23.5,22.1,20.8,20.6,22.5,27.3
Kirklees,Kirklees (Metropolitan borough),E08000034,35.3,35.8,36.2,36.9,35.2,33.3
Knowsley,Knowsley (Metropolitan borough),E08000011,38.1,42,38,40.5,37.8,37
Lambeth,Lambeth (London borough),E09000022,48.8,40.7,34.7,33.2,44.1,54.5
Lancashire,Lancashire (County),E10000017,52.8,55,58.2,58.3,54.7,51.7
Lancaster,Lancaster (District),E07000121,58.1,65.3,75.1,76.2,70.8,64.8
Leeds,Leeds (Metropolitan borough),E08000035,39.3,40.8,42.1,43.2,42.4,42.1
Leicester,Leicester (Unitary),E06000016,27.7,28,29.3,29.9,26.4,27.7
Leicestershire,Leicestershire (County),E10000018,31.4,31.9,33.9,35.5,33.3,32.9
Lewes,Lewes (District),E07000063,49,53.5,65.7,66.7,63.6,62.9
Lewisham,Lewisham (London borough),E09000023,31.8,26.8,20.7,20.7,26.8,32.5
Lichfield,Lichfield (District),E07000194,20.4,21.6,25.1,30.5,30.8,27.1
Lincoln,Lincoln (District),E07000138,34.2,37,34.8,33.8,37.7,42
Lincolnshire,Lincolnshire (County),E10000019,61.5,57,51.6,52.3,59.3,67.4
Liverpool,Liverpool (Metropolitan borough),E08000012,45.5,49.5,48.4,50.9,47.2,43.5
Luton,Luton (Unitary),E06000032,25,24.9,25.1,27.6,32.1,35.7
Maidstone,Maidstone (District),E07000110,38.6,40.6,38.6,49.2,50.9,60
Maldon,Maldon (District),E07000074,42.5,42.9,43.5,57.8,59.9,74.5
Malvern Hills,Malvern Hills (District),E07000235,34.2,35.3,37.6,40.3,48.8,49.7
Manchester,Manchester (Metropolitan borough),E08000003,34.4,33.9,29.6,28.4,29,32.1
Mansfield,Mansfield (District),E07000174,44.5,36.7,39,33.7,35.2,28.9
Medway,Medway (Unitary),E06000035,21.3,20.2,22.9,27.1,31.4,34.8
Melton,Melton (District),E07000133,38.1,44.6,57.5,68,62.1,52.4
Mendip,Mendip (District),E07000187,50.3,48.9,48.6,42.8,37.7,40.5
Merton,Merton (London borough),E09000024,23.6,24.1,19.2,21,22.6,29.4
Mid Devon,Mid Devon (District),E07000042,30.2,31.3,36.6,36.4,39.6,41.3
Mid Suffolk,Mid Suffolk (District),E07000203,54.2,50.1,39.8,38.9,45,46.6
Mid Sussex,Mid Sussex (District),E07000228,59.5,62,61.3,58,55.6,53.9
Middlesbrough,Middlesbrough (Unitary),E06000002,25.7,27.8,30.9,29.4,29,25.4
Milton Keynes,Milton Keynes (Unitary),E06000042,36.9,38,36.1,38.1,36.2,35.6
Mole Valley,Mole Valley (District),E07000210,80.5,78.8,79.8,72,62.3,75
New Forest,New Forest (District),E07000091,71.4,67.7,63.1,60.8,58.7,60.3
Newark and Sherwood,Newark and Sherwood (District),E07000175,67.9,59.9,53.7,56.2,52.8,54.8
Newcastle upon Tyne,Newcastle upon Tyne (Metropolitan borough),E08000021,29.3,28.3,30.1,33,36.2,37.2
Newcastle-under-Lyme,Newcastle-under-Lyme (District),E07000195,17.7,17.3,21.7,24.2,26,23.3
Newham,Newham (London borough),E09000025,21.9,20.5,19.6,21.8,29.5,32.7
Norfolk,Norfolk (County),E10000020,42.4,43,43.9,44.1,45.2,47.6
North Devon,North Devon (District),E07000043,48,56.1,53.9,53.5,52.5,55.5
North East Derbyshire,North East Derbyshire (District),E07000038,48.3,41,42.9,41.8,39.5,38.4
North East Lincolnshire,North East Lincolnshire (Unitary),E06000012,53.2,54.4,49.8,45.2,45.9,53.6
North Hertfordshire,North Hertfordshire (District),E07000099,40.3,46.2,44.6,46.9,43.5,45
North Kesteven,North Kesteven (District),E07000139,56.7,50.3,43.8,45.2,52.8,63.9
North Lincolnshire,North Lincolnshire (Unitary),E06000013,60.6,61,59.1,54.4,56.4,64
North Norfolk,North Norfolk (District),E07000147,35.7,36.6,35.3,40,42.5,45.2
North Northamptonshire,North Northamptonshire,E06000061,no value,no value,no value,no value,no value,no value
North Somerset,North Somerset (Unitary),E06000024,27.7,28.3,26.7,23.2,23.3,24.3
North Tyneside,North Tyneside (Metropolitan borough),E08000022,24.2,24.1,24.5,26.6,29.3,31
North Warwickshire,North Warwickshire (District),E07000218,101.8,92.8,85.4,85,105.5,109.8
North West Leicestershire,North West Leicestershire (District),E07000134,45,47.2,46.3,46,46.1,46.9
North Yorkshire,North Yorkshire (County),E10000023,77.5,76.1,73.6,70.9,69.5,65.9
Northumberland,Northumberland (Unitary),E06000057,48.9,48.7,47.2,52.4,53.2,58.1
